movie_id,title,release_year,genre,secondary_genre,language,country,studio,director,runtime_mins,budget_million_usd,revenue_million_usd,imdb_rating,metascore,votes,profit_million_usd,roi_pct,is_hit
1052,Golden Whisper,2000,Comedy,,English,USA,Sony Pictures,J. Nolan,96,18.2,77.7,7.0,74,12211,59.5,326.9,1
1084,Lost Storm,2000,Drama,Adventure,Korean,China,Walt Disney Studios,H. Cho,118,14.7,57.0,4.8,42,23135,42.3,287.8,1
1088,Crimson Chronicles,2000,Animation,,English,India,Legendary Pictures,N. Rossi,127,33.0,113.9,6.4,57,477666,80.9,245.2,1
1250,Hidden Empire,2000,Drama,Romance,English,South Korea,A24,N. Rossi,138,12.3,20.8,7.8,75,120343,8.5,69.1,0
1661,Silent Storm,2000,Action,Sci-Fi,French,China,Legendary Pictures,N. Rossi,92,34.8,120.3,4.7,51,22299,85.5,245.7,1
1696,Endless Chronicles,2000,Comedy,Horror,Hindi,Australia,Universal Pictures,A. Sharma,99,24.2,184.8,7.4,77,48030,160.6,663.6,1
1640,Last Horizon,2000,Romance,Horror,English,India,A24,H. Cho,129,30.4,303.5,4.9,47,21590,273.1,898.4,1
1699,Forgotten Empire,2000,Horror,Action,English,South Korea,Sony Pictures,N. Rossi,128,26.2,28.9,8.3,84,117875,2.7,10.3,0
1390,Endless Vengeance,2000,Crime,,English,Germany,Sony Pictures,B. Martinez,86,25.7,43.9,6.1,60,5576,18.2,70.8,0
1231,Dark Journey,2000,Thriller,Adventure,English,Canada,Legendary Pictures,M. Chen,109,42.3,18.5,6.3,68,170658,-23.8,-56.3,0
1446,Rising Horizon,2000,Sci-Fi,Thriller,Spanish,China,Warner Bros,T. Wilson,90,40.1,34.8,6.1,76,107687,-5.3,-13.2,0
1423,Endless Storm,2000,Crime,,Hindi,China,Paramount,A. Sharma,97,44.0,468.1,6.7,69,11750,424.1,963.9,1
1457,Last Horizon,2000,Sci-Fi,Comedy,English,Canada,Warner Bros,V. Petrov,117,30.4,65.1,8.2,98,55045,34.7,114.1,1
1433,Lost Horizon,2000,Romance,Horror,English,South Korea,Warner Bros,M. Chen,125,6.7,6.3,7.0,71,139727,-0.4,-6.0,0
1431,Endless Whisper,2000,Crime,,Chinese,Germany,MGM,H. Cho,131,9.0,13.6,5.4,57,192085,4.6,51.1,0
1393,Shadow Storm,2000,Sci-Fi,,English,China,MGM,V. Petrov,148,103.5,160.8,5.7,44,12398,57.3,55.4,0
1447,Last Journey,2000,Crime,Thriller,English,France,Legendary Pictures,R. Patel,84,14.0,79.3,7.4,75,41691,65.3,466.4,1
1097,Shadow Empire,2000,Adventure,Drama,Hindi,Australia,Paramount,B. Martinez,139,59.7,240.9,6.4,56,1319,181.2,303.5,1
1062,Endless Odyssey,2000,Comedy,,English,India,Paramount,P. Dubois,122,20.1,44.9,6.0,51,5853,24.8,123.4,1
1332,Dark Empire,2000,Romance,Crime,English,UK,A24,S. Kim,157,21.1,239.1,6.0,81,25080,218.0,1033.2,1
1287,Eternal Odyssey,2000,Comedy,Thriller,Chinese,Japan,Warner Bros,L. Garcia,129,15.0,39.1,7.3,86,40094,24.1,160.7,1
